PING 120.0.0.1 (120.0.0.1) 56(84) bytes of data.
64 bytes from 120.0.0.1: icmp_seq=1 ttl=246 time=15.7 ms
64 bytes from 120.0.0.1: icmp_seq=2 ttl=246 time=15.2 ms
64 bytes from 120.0.0.1: icmp_seq=3 ttl=246 time=14.9 ms
64 bytes from 120.0.0.1: icmp_seq=4 ttl=246 time=14.8 ms
64 bytes from 120.0.0.1: icmp_seq=5 ttl=246 time=15.2 ms
64 bytes from 120.0.0.1: icmp_seq=6 ttl=246 time=13.9 ms
64 bytes from 120.0.0.1: icmp_seq=7 ttl=246 time=13.5 ms
64 bytes from 120.0.0.1: icmp_seq=8 ttl=246 time=14.6 ms
64 bytes from 120.0.0.1: icmp_seq=9 ttl=246 time=14.9 ms
64 bytes from 120.0.0.1: icmp_seq=10 ttl=246 time=14.8 ms
64 bytes from 120.0.0.1: icmp_seq=11 ttl=246 time=14.8 ms
64 bytes from 120.0.0.1: icmp_seq=12 ttl=246 time=15.9 ms
64 bytes from 120.0.0.1: icmp_seq=13 ttl=246 time=15.0 ms
64 bytes from 120.0.0.1: icmp_seq=14 ttl=246 time=14.1 ms
64 bytes from 120.0.0.1: icmp_seq=15 ttl=246 time=15.0 ms
64 bytes from 120.0.0.1: icmp_seq=16 ttl=246 time=14.3 ms
